#ID	Region_Length	RPM(Lib-Size Normalization Depends on Depth File)	RPKM
NM_134123.I1.Ini	10000	23.2087	2.3209
NM_134123.I1.Ter	10000	0.0000	0.0000
XM_006523225.I1.Ini	10000	14.6721	1.4672
XM_006523225.I1.Ter	10000	0.0000	0.0000
XM_006523225.I2.Ini	10000	0.0000	0.0000
XM_006523225.I2.Ter	10000	0.0000	0.0000
XM_006523225.I15.Ini	10000	0.0000	0.0000
XM_006523225.I15.Ter	10000	0.0000	0.0000
XM_006523225.I16.Ini	10000	0.0000	0.0000
XM_006523225.I16.Ter	10000	0.0000	0.0000
NR_045764.I3.Ini	10000	0.0000	0.0000
NR_045764.I3.Ter	10000	0.0000	0.0000
NM_001085355.I1.Ini	10000	23.8756	2.3876
NM_001085355.I1.Ter	10000	0.0000	0.0000
NM_001085355.I2.Ini	10000	15.7392	1.5739
NM_001085355.I2.Ter	10000	9.3368	0.9337
NM_001085355.I3.Ini	10000	0.0000	0.0000
NM_001085355.I3.Ter	10000	0.0000	0.0000
NM_001085355.I4.Ini	10000	0.0000	0.0000
NM_001085355.I4.Ter	10000	0.0000	0.0000
NM_001085355.I5.Ini	10000	0.0000	0.0000
NM_001085355.I5.Ter	10000	0.2668	0.0267
NM_027457.I3.Ini	10000	0.0000	0.0000
NM_027457.I3.Ter	10000	0.0000	0.0000
NM_146073.I1.Ini	10000	0.0000	0.0000
NM_146073.I1.Ter	10000	0.0000	0.0000
NM_146073.I2.Ini	10000	0.0000	0.0000
NM_146073.I2.Ter	10000	0.0000	0.0000
NM_146073.I3.Ini	10000	0.0000	0.0000
NM_146073.I3.Ter	10000	0.0000	0.0000
NM_146073.I8.Ini	10000	0.0000	0.0000
NM_146073.I8.Ter	10000	0.0000	0.0000
NM_025664.I1.Ini	10000	10.6706	1.0671
NM_025664.I1.Ter	10000	0.0000	0.0000
XM_006523203.I1.Ini	10000	0.0000	0.0000
XM_006523203.I1.Ter	10000	0.0000	0.0000
NM_001103181.I1.Ini	10000	0.0000	0.0000
NM_001103181.I1.Ter	10000	26.6766	2.6677
XM_006523257.I1.Ini	10000	0.0000	0.0000
XM_006523257.I1.Ter	10000	0.0000	0.0000
NM_009510.I1.Ini	10000	0.0000	0.0000
NM_009510.I1.Ter	10000	0.0000	0.0000
NM_001083945.I2.Ini	10000	0.0000	0.0000
NM_001083945.I2.Ter	10000	13.6051	1.3605
NM_001033442.I2.Ini	10000	0.0000	0.0000
NM_001033442.I2.Ter	10000	0.0000	0.0000
XM_006523199.I1.Ini	10000	0.0000	0.0000
XM_006523199.I1.Ter	10000	15.8726	1.5873
XM_006523350.I1.Ini	10000	0.0000	0.0000
XM_006523350.I1.Ter	10000	0.0000	0.0000
XR_001782310.I3.Ini	10000	0.0000	0.0000
XR_001782310.I3.Ter	10000	0.0000	0.0000
XR_001782310.I4.Ini	10000	6.9359	0.6936
XR_001782310.I4.Ter	10000	0.0000	0.0000
XR_001782310.I5.Ini	10000	0.0000	0.0000
XR_001782310.I5.Ter	10000	0.0000	0.0000
XM_006523318.I1.Ini	10000	0.0000	0.0000
XM_006523318.I1.Ter	10000	0.0000	0.0000
XM_006523318.I3.Ini	10000	0.0000	0.0000
XM_006523318.I3.Ter	10000	0.0000	0.0000
XM_006523318.I4.Ini	10000	0.0000	0.0000
XM_006523318.I4.Ter	10000	0.0000	0.0000
NM_001159517.I1.Ini	10000	14.0052	1.4005
NM_001159517.I1.Ter	10000	0.0000	0.0000
NM_001159517.I3.Ini	10000	0.0000	0.0000
NM_001159517.I3.Ter	10000	0.0000	0.0000
NM_001159517.I4.Ini	10000	0.0000	0.0000
NM_001159517.I4.Ter	10000	0.0000	0.0000
NM_027032.I1.Ini	10000	0.0000	0.0000
NM_027032.I1.Ter	10000	0.0000	0.0000
NM_027032.I2.Ini	10000	0.0000	0.0000
NM_027032.I2.Ter	10000	0.0000	0.0000
NM_027032.I3.Ini	10000	0.0000	0.0000
NM_027032.I3.Ter	10000	0.0000	0.0000
NM_027032.I4.Ini	10000	0.0000	0.0000
NM_027032.I4.Ter	10000	0.0000	0.0000
NR_077237.I1.Ini	10000	0.0000	0.0000
NR_077237.I1.Ter	10000	0.0000	0.0000
XR_876412.I2.Ini	10000	0.0000	0.0000
XR_876412.I2.Ter	10000	0.0000	0.0000
NM_016694.I1.Ini	10000	0.0000	0.0000
NM_016694.I1.Ter	10000	0.0000	0.0000
NM_016694.I2.Ini	10000	0.0000	0.0000
NM_016694.I2.Ter	10000	0.0000	0.0000
NM_016694.I3.Ini	10000	0.0000	0.0000
NM_016694.I3.Ter	10000	0.0000	0.0000
NM_016694.I4.Ini	10000	0.0000	0.0000
NM_016694.I4.Ter	10000	0.0000	0.0000
NM_016694.I5.Ini	10000	0.0000	0.0000
NM_016694.I5.Ter	10000	0.0000	0.0000
NM_016694.I6.Ini	10000	0.0000	0.0000
NM_016694.I6.Ter	10000	0.0000	0.0000
NM_016694.I7.Ini	10000	0.0000	0.0000
NM_016694.I7.Ter	10000	0.0000	0.0000
NM_016694.I9.Ini	10000	0.0000	0.0000
NM_016694.I9.Ter	10000	0.0000	0.0000
NM_016694.I10.Ini	10000	0.0000	0.0000
NM_016694.I10.Ter	10000	0.0000	0.0000
XR_001782243.I1.Ini	10000	0.0000	0.0000
XR_001782243.I1.Ter	10000	0.0000	0.0000
XM_006523345.I1.Ini	10000	12.6714	1.2671
XM_006523345.I1.Ter	10000	0.0000	0.0000
XM_006523345.I2.Ini	10000	0.0000	0.0000
XM_006523345.I2.Ter	10000	0.0000	0.0000
XR_001782079.I1.Ini	10000	0.0000	0.0000
XR_001782079.I1.Ter	10000	36.1468	3.6147
NM_011395.I1.Ini	10000	0.0000	0.0000
NM_011395.I1.Ter	10000	0.0000	0.0000
NM_011395.I5.Ini	10000	0.0000	0.0000
NM_011395.I5.Ter	10000	0.0000	0.0000
NM_010515.I1.Ini	10000	0.0000	0.0000
NM_010515.I1.Ter	10000	0.0000	0.0000
