#ID	Region_Length	RPM(Lib-Size Normalization Depends on Depth File)	RPKM
NM_134123.I1.Ini	10000	41.2102	4.1210
NM_134123.I1.Ter	10000	32.4899	3.2490
XM_006523225.I1.Ini	10000	0.0000	0.0000
XM_006523225.I1.Ter	10000	0.0000	0.0000
XM_006523225.I2.Ini	10000	0.0000	0.0000
XM_006523225.I2.Ter	10000	0.0000	0.0000
XM_006523225.I15.Ini	10000	0.0000	0.0000
XM_006523225.I15.Ter	10000	0.0000	0.0000
XM_006523225.I16.Ini	10000	10.2674	1.0267
XM_006523225.I16.Ter	10000	55.4157	5.5416
NR_045764.I3.Ini	10000	0.0000	0.0000
NR_045764.I3.Ter	10000	0.0000	0.0000
NM_001085355.I1.Ini	10000	0.0000	0.0000
NM_001085355.I1.Ter	10000	0.0000	0.0000
NM_001085355.I2.Ini	10000	11.2519	1.1252
NM_001085355.I2.Ter	10000	0.0000	0.0000
NM_001085355.I3.Ini	10000	19.5502	1.9550
NM_001085355.I3.Ter	10000	0.0000	0.0000
NM_001085355.I4.Ini	10000	0.0000	0.0000
NM_001085355.I4.Ter	10000	0.4219	0.0422
NM_001085355.I5.Ini	10000	0.0000	0.0000
NM_001085355.I5.Ter	10000	0.0000	0.0000
NM_027457.I3.Ini	10000	41.9134	4.1913
NM_027457.I3.Ter	10000	18.4250	1.8425
NM_146073.I1.Ini	10000	0.0000	0.0000
NM_146073.I1.Ter	10000	0.0000	0.0000
NM_146073.I2.Ini	10000	0.0000	0.0000
NM_146073.I2.Ter	10000	0.0000	0.0000
NM_146073.I3.Ini	10000	0.0000	0.0000
NM_146073.I3.Ter	10000	0.0000	0.0000
NM_146073.I8.Ini	10000	0.0000	0.0000
NM_146073.I8.Ter	10000	0.0000	0.0000
NM_025664.I1.Ini	10000	19.5502	1.9550
NM_025664.I1.Ter	10000	0.0000	0.0000
XM_006523203.I1.Ini	10000	0.0000	0.0000
XM_006523203.I1.Ter	10000	0.0000	0.0000
NM_001103181.I1.Ini	10000	25.1762	2.5176
NM_001103181.I1.Ter	10000	0.0000	0.0000
XM_006523257.I1.Ini	10000	5.8369	0.5837
XM_006523257.I1.Ter	10000	6.8215	0.6821
NM_009510.I1.Ini	10000	27.5672	2.7567
NM_009510.I1.Ter	10000	0.0000	0.0000
NM_001083945.I2.Ini	10000	8.2983	0.8298
NM_001083945.I2.Ter	10000	0.0000	0.0000
NM_001033442.I2.Ini	10000	0.0000	0.0000
NM_001033442.I2.Ter	10000	0.0000	0.0000
XM_006523199.I1.Ini	10000	0.0000	0.0000
XM_006523199.I1.Ter	10000	12.3771	1.2377
XM_006523350.I1.Ini	10000	0.0000	0.0000
XM_006523350.I1.Ter	10000	0.0000	0.0000
XR_001782310.I3.Ini	10000	0.0000	0.0000
XR_001782310.I3.Ter	10000	0.0000	0.0000
XR_001782310.I4.Ini	10000	0.0000	0.0000
XR_001782310.I4.Ter	10000	0.0000	0.0000
XR_001782310.I5.Ini	10000	0.0000	0.0000
XR_001782310.I5.Ter	10000	0.0000	0.0000
XM_006523318.I1.Ini	10000	0.0000	0.0000
XM_006523318.I1.Ter	10000	0.0000	0.0000
XM_006523318.I3.Ini	10000	5.3447	0.5345
XM_006523318.I3.Ter	10000	9.8454	0.9845
XM_006523318.I4.Ini	10000	0.0000	0.0000
XM_006523318.I4.Ter	10000	0.0000	0.0000
NM_001159517.I1.Ini	10000	10.2674	1.0267
NM_001159517.I1.Ter	10000	0.0000	0.0000
NM_001159517.I3.Ini	10000	0.0000	0.0000
NM_001159517.I3.Ter	10000	0.0000	0.0000
NM_001159517.I4.Ini	10000	36.1468	3.6147
NM_001159517.I4.Ter	10000	10.3377	1.0338
NM_027032.I1.Ini	10000	0.0000	0.0000
NM_027032.I1.Ter	10000	0.0000	0.0000
NM_027032.I2.Ini	10000	0.0000	0.0000
NM_027032.I2.Ter	10000	0.0000	0.0000
NM_027032.I3.Ini	10000	0.0000	0.0000
NM_027032.I3.Ter	10000	0.0000	0.0000
NM_027032.I4.Ini	10000	0.0000	0.0000
NM_027032.I4.Ter	10000	0.0000	0.0000
NR_077237.I1.Ini	10000	0.0000	0.0000
NR_077237.I1.Ter	10000	0.0000	0.0000
XR_876412.I2.Ini	10000	0.0000	0.0000
XR_876412.I2.Ter	10000	0.0000	0.0000
NM_016694.I1.Ini	10000	0.0000	0.0000
NM_016694.I1.Ter	10000	0.0000	0.0000
NM_016694.I2.Ini	10000	0.0000	0.0000
NM_016694.I2.Ter	10000	0.0000	0.0000
NM_016694.I3.Ini	10000	0.0000	0.0000
NM_016694.I3.Ter	10000	0.0000	0.0000
NM_016694.I4.Ini	10000	0.0000	0.0000
NM_016694.I4.Ter	10000	0.0000	0.0000
NM_016694.I5.Ini	10000	0.0000	0.0000
NM_016694.I5.Ter	10000	0.0000	0.0000
NM_016694.I6.Ini	10000	0.0000	0.0000
NM_016694.I6.Ter	10000	0.0000	0.0000
NM_016694.I7.Ini	10000	0.0000	0.0000
NM_016694.I7.Ter	10000	0.0000	0.0000
NM_016694.I9.Ini	10000	0.0000	0.0000
NM_016694.I9.Ter	10000	0.0000	0.0000
NM_016694.I10.Ini	10000	0.0000	0.0000
NM_016694.I10.Ter	10000	0.0000	0.0000
XR_001782243.I1.Ini	10000	0.0000	0.0000
XR_001782243.I1.Ter	10000	0.0000	0.0000
